"","year","month","day","date","reg_season","mode"
"326",1980,11,21,1980-11-21,"open","Private"
"327",1980,11,22,1980-11-22,"open","Private"
"328",1980,11,23,1980-11-23,"open","Private"
"329",1980,11,24,1980-11-24,"open","Private"
"330",1980,11,25,1980-11-25,"open","Private"
"331",1980,11,26,1980-11-26,"open","Private"
"332",1980,11,27,1980-11-27,"open","Private"
"333",1980,11,28,1980-11-28,"open","Private"
"334",1980,11,29,1980-11-29,"open","Private"
"335",1980,11,30,1980-11-30,"open","Private"
"336",1980,12,1,1980-12-01,"open","Private"
"337",1980,12,2,1980-12-02,"open","Private"
"338",1980,12,3,1980-12-03,"open","Private"
"339",1980,12,4,1980-12-04,"open","Private"
"340",1980,12,5,1980-12-05,"open","Private"
"341",1980,12,6,1980-12-06,"open","Private"
"342",1980,12,7,1980-12-07,"open","Private"
"343",1980,12,8,1980-12-08,"open","Private"
"344",1980,12,9,1980-12-09,"open","Private"
"345",1980,12,10,1980-12-10,"open","Private"
"346",1980,12,11,1980-12-11,"open","Private"
"347",1980,12,12,1980-12-12,"open","Private"
"348",1980,12,13,1980-12-13,"open","Private"
"349",1980,12,14,1980-12-14,"open","Private"
"350",1980,12,15,1980-12-15,"open","Private"
"351",1980,12,16,1980-12-16,"open","Private"
"352",1980,12,17,1980-12-17,"open","Private"
"353",1980,12,18,1980-12-18,"open","Private"
"354",1980,12,19,1980-12-19,"open","Private"
"355",1980,12,20,1980-12-20,"open","Private"
"356",1980,12,21,1980-12-21,"open","Private"
"357",1980,12,22,1980-12-22,"open","Private"
"358",1980,12,23,1980-12-23,"open","Private"
"359",1980,12,24,1980-12-24,"open","Private"
"360",1980,12,25,1980-12-25,"open","Private"
"361",1980,12,26,1980-12-26,"open","Private"
"362",1980,12,27,1980-12-27,"open","Private"
"363",1980,12,28,1980-12-28,"open","Private"
"364",1980,12,29,1980-12-29,"open","Private"
"365",1980,12,30,1980-12-30,"open","Private"
"366",1980,12,31,1980-12-31,"open","Private"
"367",1981,1,1,1981-01-01,"open","Private"
"368",1981,1,2,1981-01-02,"open","Private"
"369",1981,1,3,1981-01-03,"open","Private"
"370",1981,1,4,1981-01-04,"open","Private"
"371",1981,1,5,1981-01-05,"open","Private"
"372",1981,1,6,1981-01-06,"open","Private"
"373",1981,1,7,1981-01-07,"open","Private"
"374",1981,1,8,1981-01-08,"open","Private"
"375",1981,1,9,1981-01-09,"open","Private"
"376",1981,1,10,1981-01-10,"open","Private"
"377",1981,1,11,1981-01-11,"open","Private"
"378",1981,1,12,1981-01-12,"open","Private"
"379",1981,1,13,1981-01-13,"open","Private"
"380",1981,1,14,1981-01-14,"open","Private"
"381",1981,1,15,1981-01-15,"open","Private"
"382",1981,1,16,1981-01-16,"open","Private"
"383",1981,1,17,1981-01-17,"open","Private"
"384",1981,1,18,1981-01-18,"open","Private"
"385",1981,1,19,1981-01-19,"open","Private"
"386",1981,1,20,1981-01-20,"open","Private"
"387",1981,1,21,1981-01-21,"open","Private"
"388",1981,1,22,1981-01-22,"open","Private"
"389",1981,1,23,1981-01-23,"open","Private"
"390",1981,1,24,1981-01-24,"open","Private"
"391",1981,1,25,1981-01-25,"open","Private"
"392",1981,1,26,1981-01-26,"open","Private"
"393",1981,1,27,1981-01-27,"open","Private"
"394",1981,1,28,1981-01-28,"open","Private"
"395",1981,1,29,1981-01-29,"open","Private"
"396",1981,1,30,1981-01-30,"open","Private"
"397",1981,1,31,1981-01-31,"open","Private"
"398",1981,2,1,1981-02-01,"open","Private"
"399",1981,2,2,1981-02-02,"open","Private"
"400",1981,2,3,1981-02-03,"open","Private"
"401",1981,2,4,1981-02-04,"open","Private"
"402",1981,2,5,1981-02-05,"open","Private"
"403",1981,2,6,1981-02-06,"open","Private"
"404",1981,2,7,1981-02-07,"open","Private"
"405",1981,2,8,1981-02-08,"open","Private"
"406",1981,2,9,1981-02-09,"open","Private"
"407",1981,2,10,1981-02-10,"open","Private"
"408",1981,2,11,1981-02-11,"open","Private"
"409",1981,2,12,1981-02-12,"open","Private"
"410",1981,2,13,1981-02-13,"open","Private"
"411",1981,2,14,1981-02-14,"open","Private"
"412",1981,2,15,1981-02-15,"open","Private"
"413",1981,2,16,1981-02-16,"open","Private"
"414",1981,2,17,1981-02-17,"open","Private"
"415",1981,2,18,1981-02-18,"open","Private"
"416",1981,2,19,1981-02-19,"open","Private"
"417",1981,2,20,1981-02-20,"open","Private"
"418",1981,2,21,1981-02-21,"open","Private"
"419",1981,2,22,1981-02-22,"open","Private"
"420",1981,2,23,1981-02-23,"open","Private"
"421",1981,2,24,1981-02-24,"open","Private"
"422",1981,2,25,1981-02-25,"open","Private"
"423",1981,2,26,1981-02-26,"open","Private"
"424",1981,2,27,1981-02-27,"open","Private"
"425",1981,2,28,1981-02-28,"open","Private"
"426",1981,3,1,1981-03-01,"open","Private"
"427",1981,3,2,1981-03-02,"open","Private"
"428",1981,3,3,1981-03-03,"open","Private"
"429",1981,3,4,1981-03-04,"open","Private"
"430",1981,3,5,1981-03-05,"open","Private"
"431",1981,3,6,1981-03-06,"open","Private"
"432",1981,3,7,1981-03-07,"open","Private"
"433",1981,3,8,1981-03-08,"open","Private"
"434",1981,3,9,1981-03-09,"open","Private"
"435",1981,3,10,1981-03-10,"open","Private"
"436",1981,3,11,1981-03-11,"open","Private"
"437",1981,3,12,1981-03-12,"open","Private"
"438",1981,3,13,1981-03-13,"open","Private"
"439",1981,3,14,1981-03-14,"open","Private"
"440",1981,3,15,1981-03-15,"open","Private"
"441",1981,3,16,1981-03-16,"open","Private"
"442",1981,3,17,1981-03-17,"open","Private"
"443",1981,3,18,1981-03-18,"open","Private"
"444",1981,3,19,1981-03-19,"open","Private"
"445",1981,3,20,1981-03-20,"open","Private"
"446",1981,3,21,1981-03-21,"open","Private"
"447",1981,3,22,1981-03-22,"open","Private"
"448",1981,3,23,1981-03-23,"open","Private"
"449",1981,3,24,1981-03-24,"open","Private"
"450",1981,3,25,1981-03-25,"open","Private"
"451",1981,3,26,1981-03-26,"open","Private"
"452",1981,3,27,1981-03-27,"open","Private"
"453",1981,3,28,1981-03-28,"open","Private"
"454",1981,3,29,1981-03-29,"open","Private"
"455",1981,3,30,1981-03-30,"open","Private"
"456",1981,3,31,1981-03-31,"open","Private"
"457",1981,4,1,1981-04-01,"open","Private"
"458",1981,4,2,1981-04-02,"open","Private"
"459",1981,4,3,1981-04-03,"open","Private"
"460",1981,4,4,1981-04-04,"open","Private"
"461",1981,4,5,1981-04-05,"open","Private"
"462",1981,4,6,1981-04-06,"open","Private"
"463",1981,4,7,1981-04-07,"open","Private"
"464",1981,4,8,1981-04-08,"open","Private"
"465",1981,4,9,1981-04-09,"open","Private"
"466",1981,4,10,1981-04-10,"open","Private"
"467",1981,4,11,1981-04-11,"open","Private"
"468",1981,4,12,1981-04-12,"open","Private"
"469",1981,4,13,1981-04-13,"open","Private"
"470",1981,4,14,1981-04-14,"open","Private"
"471",1981,4,15,1981-04-15,"open","Private"
"472",1981,4,16,1981-04-16,"open","Private"
"473",1981,4,17,1981-04-17,"open","Private"
"474",1981,4,18,1981-04-18,"open","Private"
"475",1981,4,19,1981-04-19,"open","Private"
"476",1981,4,20,1981-04-20,"open","Private"
"477",1981,4,21,1981-04-21,"open","Private"
"478",1981,4,22,1981-04-22,"open","Private"
"479",1981,4,23,1981-04-23,"open","Private"
"480",1981,4,24,1981-04-24,"open","Private"
"481",1981,4,25,1981-04-25,"open","Private"
"482",1981,4,26,1981-04-26,"open","Private"
"483",1981,4,27,1981-04-27,"open","Private"
"484",1981,4,28,1981-04-28,"open","Private"
"485",1981,4,29,1981-04-29,"open","Private"
"486",1981,4,30,1981-04-30,"open","Private"
"487",1981,5,1,1981-05-01,"open","Private"
"488",1981,5,2,1981-05-02,"open","Private"
"489",1981,5,3,1981-05-03,"open","Private"
"490",1981,5,4,1981-05-04,"open","Private"
"491",1981,5,5,1981-05-05,"open","Private"
"492",1981,5,6,1981-05-06,"open","Private"
"493",1981,5,7,1981-05-07,"open","Private"
"494",1981,5,8,1981-05-08,"open","Private"
"495",1981,5,9,1981-05-09,"open","Private"
"496",1981,5,10,1981-05-10,"open","Private"
"497",1981,5,11,1981-05-11,"open","Private"
"498",1981,5,12,1981-05-12,"open","Private"
"499",1981,5,13,1981-05-13,"open","Private"
"500",1981,5,14,1981-05-14,"open","Private"
"501",1981,5,15,1981-05-15,"open","Private"
"502",1981,5,16,1981-05-16,"open","Private"
"503",1981,5,17,1981-05-17,"open","Private"
"504",1981,5,18,1981-05-18,"open","Private"
"505",1981,5,19,1981-05-19,"open","Private"
"506",1981,5,20,1981-05-20,"open","Private"
"507",1981,5,21,1981-05-21,"open","Private"
"508",1981,5,22,1981-05-22,"open","Private"
"509",1981,5,23,1981-05-23,"open","Private"
"510",1981,5,24,1981-05-24,"open","Private"
"511",1981,5,25,1981-05-25,"open","Private"
"512",1981,5,26,1981-05-26,"open","Private"
"513",1981,5,27,1981-05-27,"open","Private"
"514",1981,5,28,1981-05-28,"open","Private"
"515",1981,5,29,1981-05-29,"open","Private"
"516",1981,5,30,1981-05-30,"open","Private"
"517",1981,5,31,1981-05-31,"open","Private"
"518",1981,6,1,1981-06-01,"open","Private"
"519",1981,6,2,1981-06-02,"open","Private"
"520",1981,6,3,1981-06-03,"open","Private"
"521",1981,6,4,1981-06-04,"open","Private"
"522",1981,6,5,1981-06-05,"open","Private"
"523",1981,6,6,1981-06-06,"open","Private"
"524",1981,6,7,1981-06-07,"open","Private"
"525",1981,6,8,1981-06-08,"open","Private"
"526",1981,6,9,1981-06-09,"open","Private"
"527",1981,6,10,1981-06-10,"open","Private"
